,Ticker,Co Web Address
163,ATO US Equity,www.atmosenergy.com
164,ADSK US Equity,www.autodesk.com
165,AZO US Equity,www.autozone.com
166,AVB US Equity,www.avaloncommunities.com
167,AGR US Equity,www.avangrid.com
168,AVTR US Equity,www.avantorinc.com
169,AVY US Equity,www.averydennison.com
170,AVVYY US Equity,www.aveva.com
171,AVVIY US Equity,www.aviva.com
172,AXAHY US Equity,www.axa.fr
173,AXON US Equity,www.axon.com
174,BAESY US Equity,www.baesystems.com
175,BIDU US Equity,www.baidu.com
176,BKR US Equity,www.bakerhughes.com
177,BLL US Equity,www.ball.com
178,BBDO US Equity,www.banco.bradesco
179,BBD US Equity,www.banco.bradesco
180,BDORY US Equity,www.bancobrasil.com.br
181,BNCOY US Equity,www.bancointer.com.br
182,NCBDY US Equity,www.bandainamco.co.jp
183,BCMXY US Equity,www.bankcomm.com
184,BKHYY US Equity,www.bankhapoalim.co.il
185,PPERY US Equity,www.bankmandiri.co.id
186,BAC US Equity,www.bankofamerica.com
187,GBOOY US Equity,www.banorte.com
188,BTDPY US Equity,www.barrattdevelopments.co.uk
189,BRRLY US Equity,www.barry-callebaut.com
190,BASFY US Equity,www.basf.com
191,BTI US Equity,www.bat.com
192,BAX US Equity,www.baxter.com
193,BAYRY US Equity,www.bayer.com
194,BRO US Equity,www.bbinsurance.com
195,BBVA US Equity,www.bbvausa.com
196,BBWI US Equity,www.bbwinc.com
197,PBCRY US Equity,www.bca.co.id
198,BDX US Equity,www.bd.com
199,BDRFY US Equity,www.beiersdorf.com
200,BGNE US Equity,www.beigene.com
201,BSY US Equity,www.bentley.com
202,WRB US Equity,www.berkley.com
203,BRK/B US Equity,www.berkshirehathaway.com
204,BRK/A US Equity,www.berkshirehathaway.com
205,BBY US Equity,www.bestbuy.com
206,CGSHY US Equity,www.bgyfw.com
207,BBL US Equity,www.bhp.com
208,BHP US Equity,www.bhp.com
209,BILI US Equity,www.bilibili.com
210,BILL US Equity,www.bill.com
211,BIO US Equity,www.bio-rad.com
212,BIO/B US Equity,www.bio-rad.com
213,TECH US Equity,www.bio-techne.com
214,BIIB US Equity,www.biogen.com
215,BMRN US Equity,www.biomarin.com
216,BNTX US Equity,www.biontech.de
217,BIP US Equity,www.bip.brookfield.com
